Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,19,parlé,speak
20,20,arrivé,come
21,21,devrait,should
22,22,bébé,baby
23,23,longtemps,long time
24,24,heures,hours
25,25,vont,will
26,26,pendant,while
27,27,revoir,meet again
28,28,aucune,any
29,29,place,square
30,30,parle,speak
31,31,compris,understood
32,32,savais,knew
33,33,étaient,were
34,34,attention,Warning
36,36,pourrais,could
37,37,affaire,case
39,39,type,type
40,40,leurs,their
41,41,donné,given
42,42,train,train
43,43,corps,body
44,44,endroit,place
45,45,yeux,eyes
46,46,façon,way
47,47,écoute,listen
48,48,dont,whose
49,49,trouve,find
50,50,premier,first
51,51,perdu,lost
52,52,première,first
53,53,côté,side
54,54,pouvoir,power
56,56,sois,be
57,57,tiens,here
58,58,matin,morning
59,59,tellement,so much
60,60,enfant,child
61,61,point,point
62,63,suite,after
63,64,pardon,sorry
64,65,venez,come
65,66,devant,in front of
66,67,vers,towards
67,69,demandé,request
68,70,chambre,bedroom
69,71,mis,placed
70,72,belle,beautiful
71,73,droit,law
72,74,aimerais,would like to
73,75,aujourd'hui,today
74,76,mari,husband
75,77,cause,cause
76,78,enfin,finally
78,80,eau,water
79,82,nouvelle,new
80,83,boulot,job
81,84,arrêter,Stop
82,85,dirait,would say
83,86,terre,Earth
84,87,compte,account
85,88,donne,given
87,90,fin,end
88,91,croire,believe
89,92,chérie,sweetheart
90,93,gros,large
91,94,plutôt,rather
92,95,aura,will have
93,96,filles,girls
94,97,jouer,to play
95,98,bureau,office
